,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example
14,渥,9.0,12,2257,1.0,['アク'],"['あつ.い', 'うるお.う']","['kindness', 'moisten']",議会に優渥なる聖詔を賜った。
15,旭,9.0,6,1417,1.0,['キョク'],['あさひ'],"['rising sun', 'morning sun']",
16,葦,9.0,13,2343,,['イ'],"['あし', 'よし', 'しお.れる', 'しな.びる', 'しぼ.む', 'な.える']","['reed', 'bullrush']",人間は考える葦である。
17,芦,9.0,7,1733,,['ロ'],"['あし', 'よし']","['reed', 'bullrush']",
18,鯵,,19,0,,['ソウ'],['あじ'],['horse mackerel'],今日の朝飯は鯵のひらきと味噌汁だった。
19,梓,9.0,11,2301,1.0,['シ'],['あずさ'],"['catalpa tree', 'woodblock printing']",
20,圧,5.0,5,718,2.0,"['アツ', 'エン', 'オウ']","['お.す', 'へ.す', 'おさ.える', 'お.さえる']","['pressure', 'push', 'overwhelm', 'oppress', 'dominate']",彼らは圧倒的に優勢な敵と戦っていた。
21,斡,9.0,14,0,,"['アツ', 'カン', 'ワツ']","['めぐ.る', 'めぐ.らす']","['go around', 'rule', 'administer']",この重役のポストに適当な人物を見つけるには、人材斡旋業者に依頼する必要がある。
22,扱,8.0,6,1057,1.0,"['ソウ', 'キュウ']","['あつか.い', 'あつか.う', 'あつか.る', 'こ.く']","['handle', 'entertain', 'thresh', 'strip']",代表の人間が彼らの部署の誰であろうと、大切に扱え。
23,宛,8.0,8,0,,['エン'],"['あ.てる', '-あて', '-づつ', 'あたか.も']","['address', 'just like', 'fortunately']",私宛の伝言はありますか。
24,姐,,8,0,,"['ソ', 'シャ']","['あね', 'ねえさん']","['elder sister', 'maidservant']",
25,虻,,9,0,,['ボウ'],['あぶ'],"['gadfly', 'horsefly']",そんなに欲をかいていると、虻蜂取らずになっちゃうよ。
26,飴,,13,0,,"['イ', 'シ']","['あめ', 'やしな.う']","['rice jelly', 'candy']",バッグの中に入っていた飴が暑さでクニャクニャになっていた。
27,絢,9.0,12,2315,1.0,['ケン'],[],['brilliant fabric design'],「幻の料亭『百川』ものがたり絢爛の江戸料理」
28,綾,9.0,14,1759,1.0,['リン'],['あや'],"['design', 'figured cloth', 'twill']",とても元気よ！ねえ、ローラ、こちら友達の綾子。
29,鮎,9.0,16,2201,1.0,"['デン', 'ネン']","['あゆ', 'なまず']","['freshwater trout', 'smelt']",鮎漁が解禁になった。
30,或,9.0,8,2378,,"['ワク', 'コク', 'イキ']","['あ.る', 'あるい', 'あるいは']","['some', 'one', 'or', 'possibly', 'a certain']",彼は或郊外の二階の部屋に寝起きしていた。
31,粟,9.0,12,2146,,"['ゾク', 'ショク', 'ソク']","['あわ', 'もみ']",['millet'],濡れ手で粟。
32,袷,,11,0,,"['コウ', 'キョウ']",['あわせ'],['lined (kimono)'],
33,安,3.0,6,144,4.0,['アン'],"['やす.い', 'やす.まる', 'やす', 'やす.らか']","['relax', 'cheap', 'low', 'quiet', 'rested', 'contented', 'peaceful']",彼はあんな安月給で暮らしていけるのかしら。
34,庵,9.0,11,2119,,['アン'],"['いおり', 'いお']","['hermitage', 'retreat']",この沢庵は塩気が足りない。
35,按,9.0,9,0,,['アン'],"['おさ.える', 'しら.べる']","['hold', 'consider', 'investigate']",
36,暗,3.0,13,1040,3.0,['アン'],"['くら.い', 'くら.む', 'くれ.る']","['darkness', 'disappear', 'shade', 'informal', 'grow dark', 'be blinded']",暗殺が世界の歴史を変えたことはない。
37,案,4.0,10,206,2.0,['アン'],['つくえ'],"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench']",専門家の委員達がその案を討論した。
38,闇,8.0,17,1969,,"['アン', 'オン']","['やみ', 'くら.い']","['get dark', 'gloom', 'disorder']",猫は闇で物が見える。
39,鞍,9.0,15,2214,,['アン'],['くら'],['saddle'],鞍馬は、力よりもバランス感覚が必要です。
40,杏,9.0,7,2159,1.0,"['キョウ', 'アン', 'コウ']",['あんず'],['apricot'],
41,以,4.0,5,126,3.0,['イ'],['もっ.て'],"['by means of', 'because', 'in view of', 'compared with']",結果次第では、両社に対して2月以来の行政指導が行われる。
42,伊,9.0,6,703,1.0,['イ'],['かれ'],"['Italy', 'that one']",伊勢エビが大好きなのですが、非常に高いのです。
43,位,4.0,7,276,2.0,['イ'],"['くらい', 'ぐらい']","['rank', 'grade', 'throne', 'crown', 'about', 'some']",どの位したら会は始まるか。
44,依,8.0,8,906,2.0,"['イ', 'エ']",['よ.る'],"['reliant', 'depend on', 'consequently', 'therefore', 'due to']",依然として彼から便りがない。
45,偉,8.0,12,1639,2.0,['イ'],['えら.い'],"['admirable', 'greatness', 'remarkable', 'conceited', 'famous', 'excellent']",偉大な批評家と詩人が一緒に旅行している。
46,囲,5.0,7,771,2.0,['イ'],"['かこ.む', 'かこ.う', 'かこ.い']","['surround', 'besiege', 'store', 'paling', 'enclosure', 'encircle', 'preserve', 'keep']",地球が太陽の周囲を回るのだと彼は言った。
47,夷,9.0,6,2324,,['イ'],"['えびす', 'えみし', 'ころ.す', 'たい.らげる']","['barbarian', 'savage', 'Ainu']",
48,委,3.0,8,187,2.0,['イ'],['ゆだ.ねる'],"['committee', 'entrust to', 'leave to', 'devote', 'discard']",委員会は彼を委員長に選んだ。
49,威,8.0,9,1103,1.0,['イ'],"['おど.す', 'おど.し', 'おど.かす']","['intimidate', 'dignity', 'majesty', 'menace', 'threaten']",彼は自分のオフィスで働いている人に威張り散らそうとしたがうまくいかなかった。
50,尉,8.0,11,2007,1.0,"['イ', 'ジョウ']",[],"['military officer', 'jailer', 'old man', 'rank']",少佐は大尉の上官である。
51,惟,9.0,11,2246,1.0,"['イ', 'ユイ']","['おも.んみる', 'これ', 'おも.うに']","['consider', 'reflect', 'think']",
52,意,3.0,13,99,3.0,['イ'],[],"['idea', 'mind', 'heart', 'taste', 'thought', 'desire', 'care', 'liking']",彼は意に反して解雇された。
53,慰,8.0,15,1158,1.0,['イ'],"['なぐさ.める', 'なぐさ.む']","['consolation', 'amusement', 'seduce', 'cheer', 'make sport of', 'comfort', 'console']",彼の優しい言葉は、私をとても慰めてくれた。
54,易,5.0,8,571,2.0,"['エキ', 'イ']","['やさ.しい', 'やす.い']","['easy', 'ready to', 'simple', 'fortune-telling', 'divination']",「儒家の道徳論：孔子・孟子・易の道」
55,椅,8.0,12,2245,,['イ'],[],['chair'],座り心地の良い椅子です。
56,為,8.0,9,831,1.0,['イ'],"['ため', 'な.る', 'な.す', 'す.る', 'たり', 'つく.る', 'なり']","['do', 'change', 'make', 'benefit', 'welfare', 'be of use', 'reach to', 'try', 'practice', 'cost', 'serve as', 'good', 'advantage', 'as a result of']",飛行機は霧の為離陸できなかった。
57,畏,8.0,9,2389,,['イ'],"['おそ.れる', 'かしこま.る', 'かしこ', 'かしこ.し']","['fear', 'majestic', 'graciously', 'be apprehensive']",彼らは教会内での厳粛な儀式を畏敬の念をもって見守った。
58,異,6.0,11,631,2.0,['イ'],"['こと', 'こと.なる', 'け']","['uncommon', 'different', 'queerness', 'strangeness', 'wonderful', 'curious', 'unusual']",縁は異なもの。
59,移,5.0,11,448,2.0,['イ'],"['うつ.る', 'うつ.す']","['shift', 'move', 'change', 'drift', 'catch (cold, fire)', 'pass into']",この種は長距離移動の記録を持っています。
60,維,8.0,14,643,1.0,['イ'],[],"['fiber', 'tie', 'rope']",柔らかいウールの方が粗いウールより高価で、そのどちらともナイロン製の人工繊維より上等である。
61,緯,8.0,16,1430,1.0,['イ'],"['よこいと', 'ぬき']","['horizontal', 'woof', 'left & right', '(parallels of) latitude', 'prediction']",今までの経緯を理解できました。
62,胃,6.0,9,1647,2.0,['イ'],[],"['stomach', 'paunch', 'crop', 'craw']",神経を使ったせいか胃が痛いです。
63,萎,8.0,11,0,,['イ'],"['な', 'しお.れる', 'しな.びる', 'しぼ.む', 'な.える']","['wither', 'droop', 'lame']",美しいバラもいつかは萎れる。
64,衣,4.0,6,1214,2.0,"['イ', 'エ']","['ころも', 'きぬ', '-ぎ']","['garment', 'clothes', 'dressing']",彼女に望むのは、歯に衣着せないで本音を言って欲しいということだ。
65,謂,9.0,16,0,,['イ'],"['い.う', 'いい', 'おも.う', 'いわゆる']","['reason', 'origin', 'history', 'oral tradition']",
66,違,8.0,13,344,2.0,['イ'],"['ちが.う', 'ちが.い', 'ちが.える', '-ちが.える', 'たが.う', 'たが.える']","['difference', 'differ']",日本人でも日本語を話すとき間違いをすることがある。
67,遺,6.0,15,647,1.0,"['イ', 'ユイ']",['のこ.す'],"['bequeath', 'leave behind', 'reserve']",私の父は遺書の中で私に多額のお金を残して死んだ。
68,医,3.0,7,437,3.0,['イ'],"['い.やす', 'い.する', 'くすし']","['doctor', 'medicine']",僕は眼科医を目指しています。
69,井,4.0,4,339,1.0,"['セイ', 'ショウ']",['い'],"['well', 'well crib', 'town', 'community']",世間知らずにもほどがある。井の中の蛙大海を知らず、ということかね。
70,亥,9.0,6,0,1.0,"['ガイ', 'カイ']",['い'],"['sign of the hog', '9-11PM', 'twelfth sign of the Chinese zodiac']",
71,域,6.0,11,396,2.0,['イキ'],[],"['range', 'region', 'limits', 'stage', 'level']",飢饉の見通しが世界の多くの地域に迫っている。
72,育,3.0,8,369,2.0,['イク'],"['そだ.つ', 'そだ.ち', 'そだ.てる', 'はぐく.む']","['bring up', 'grow up', 'raise', 'rear']",万一明日の午後雨が降ったら体育館に集まろう。
73,郁,9.0,9,1920,1.0,['イク'],[],"['cultural progress', 'perfume']",
74,磯,9.0,17,1444,1.0,['キ'],['いそ'],"['seashore', 'beach']",磯田氏に全く同感です。
75,一,1.0,1,2,4.0,"['イチ', 'イツ']","['ひと-', 'ひと.つ']","['one', 'one radical (no.1)']",来週になると一家族が入ってくる。
76,壱,8.0,7,2351,1.0,"['イチ', 'イツ']",['ひとつ'],['one (in documents)'],それは壱万円と計算されている。
77,溢,9.0,13,2405,,['イツ'],"['こぼ.れる', 'あふ.れる', 'み.ちる']","['overflow', 'inundate', 'spill']",ビールは泡立ってコップから溢れた。
78,逸,8.0,11,1524,1.0,['イツ'],"['そ.れる', 'そ.らす', 'はぐ.れる']","['deviate', 'idleness', 'leisure', 'miss the mark', 'evade', 'elude', 'parry', 'diverge']",何から何までが常軌を逸している。
79,稲,8.0,14,1038,1.0,"['トウ', 'テ']","['いね', 'いな-']",['rice plant'],稲は雨の多い地域で作られる。
80,茨,4.0,9,1203,,"['シ', 'ジ']","['いばら', 'かや', 'くさぶき']","['briar', 'thorn']",彼女は茨城に行った。
81,芋,8.0,6,2418,1.0,['ウ'],['いも'],['potato'],最新のバイオ技術によって、芋の臭みを最小限に抑えた、非常に飲みやすい芋焼酎です。
82,鰯,9.0,21,0,,[],['いわし'],"['sardine', '(kokuji)']",浜は祭りのようだけど海の中では何万の鰯の弔いするだろう。
83,允,9.0,4,2358,1.0,['イン'],"['じょう', 'まこと.に', 'ゆるす']","['license', 'sincerity', 'permit']",
84,印,4.0,6,682,2.0,['イン'],"['しるし', '-じるし', 'しる.す']","['stamp', 'seal', 'mark', 'imprint', 'symbol', 'emblem', 'trademark', 'evidence', 'souvenir', 'India']",正解に印をつけてください。
85,咽,8.0,9,0,,"['イン', 'エン', 'エツ']","['むせ.ぶ', 'むせ.る', 'のど', 'の.む']","['throat', 'choked', 'smothered', 'stuffy']",咽喉を痛めた。
86,員,3.0,10,54,3.0,['イン'],[],"['employee', 'member', 'number', 'the one in charge']",それから、ぞろぞろと定期ではないお客が、――商人風の男や、政党本部へ行く院外団員らしい壮士が威張って出て来る。
87,因,5.0,6,636,2.0,['イン'],"['よ.る', 'ちな.む']","['cause', 'factor', 'be associated with', 'depend on', 'be limited to']",過去６年間でＣＦＩＴは墜落事故の３分の１を若干越えるくらいの割合を占めているが、死亡件数の５３％の原因となっている。
88,姻,8.0,9,1985,1.0,['イン'],[],"['matrimony', 'marry']",婚姻証明書や氏名変更証明書の謄本を添えてください。
89,引,2.0,4,218,3.0,['イン'],"['ひ.く', 'ひ.ける']","['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']",彼は力いっぱい引っ張ったが、岩はびくともしなかった。
90,飲,3.0,12,969,4.0,"['イン', 'オン']","['の.む', '-の.み']","['drink', 'smoke', 'take']",この水は飲んでも大丈夫だ。
91,淫,8.0,11,0,,['イン'],"['ひた.す', 'ほしいまま', 'みだ.ら', 'みだ.れる', 'みだり']","['lewdness', 'licentiousness']",彼は淫らな生活から足を洗った。
92,胤,9.0,9,0,1.0,['イン'],['たね'],"['descendent', 'issue', 'offspring']",
93,蔭,9.0,14,2166,,"['イン', 'オン']",['かげ'],"['shade', 'shadow', 'backing assistance']",彼らは木蔭に座った。
94,院,3.0,10,150,3.0,['イン'],[],"['Inst.', 'institution', 'temple', 'mansion', 'school']",彼はその病院に多額の寄付をした。
95,陰,8.0,11,1393,1.0,['イン'],"['かげ', 'かげ.る']","['shade', 'yin', 'negative', 'sex organs', 'secret', 'shadow']",彼はドアの陰にそれを隠した。
96,隠,8.0,14,1089,1.0,"['イン', 'オン']","['かく.す', 'かく.し', 'かく.れる', 'よ.る']","['conceal', 'hide', 'cover']",詐欺師は新たに人をだますまえに、目隠し、すなわち、人をだますテクニックを磨く。
97,韻,8.0,19,2148,1.0,['イン'],[],"['rhyme', 'elegance', 'tone']",頭韻の例を収集するために、シェークスピア・コンコーダンスを調べた。
98,吋,,6,0,,"['トウ', 'ドウ', 'スン']",['インチ'],['inch'],
99,右,1.0,5,602,4.0,"['ウ', 'ユウ']",['みぎ'],['right'],駅が右にあります。
100,宇,6.0,6,883,2.0,['ウ'],[],"['eaves', 'roof', 'house', 'heaven']",私はまた元気になったのだから、大学では宇宙科学を勉強したい。
101,烏,9.0,10,2042,,"['ウ', 'オ']","['からす', 'いずくんぞ', 'なんぞ']","['crow', 'raven']",僕も結構風呂の時間が短いけれど、君は本当に烏の行水だね。
102,羽,2.0,6,748,2.0,['ウ'],"['は', 'わ', 'はね']","['feathers', 'counter for birds, rabbits']",鳥が２羽３羽飛んできた。
103,迂,9.0,6,0,,['ウ'],[],['roundabout way'],もし高い丘がＡからＢの間にあれば、路線が丘を越えて行くようにさせるか、トンネルで丘を貫いて行くようにさせるか、あるいは丘を避けて迂回路をとるようにさせるか決めるのが重要となる。
104,雨,1.0,8,950,4.0,['ウ'],"['あめ', 'あま-', '-さめ']",['rain'],雨が小やみになった。
105,卯,9.0,5,2400,1.0,"['ボウ', 'モウ']",['う'],"['sign of the hare or rabbit', 'fourth sign of Chinese zodiac', '5-7AM', 'east']",
106,鵜,9.0,18,2118,,"['テイ', 'ダイ']",['う'],['cormorant'],鵜の目鷹の目で探していたよ。
107,窺,9.0,16,0,,['キ'],"['うかが.う', 'のぞく']","['lie in wait', 'spy on', 'reconnoiter']",
108,丑,9.0,4,2305,1.0,['チュウ'],['うし'],"['sign of the ox or cow', '1-3AM', 'second sign of Chinese zodiac']",
109,碓,9.0,13,2364,,"['カク', 'タイ']","['たし.か', 'かく.たる']",['pestle'],
110,臼,8.0,6,2048,,"['キュウ', 'グ']","['うす', 'うすづ.く']",['mortar'],臼歯のうち最後に生える歯はおやしらずという。
111,渦,8.0,12,1789,1.0,['カ'],['うず'],"['whirlpool', 'eddy', 'vortex']",コロナ感染症の渦中では自由三昧に過ごすのは控えよう。
112,嘘,,14,2235,,"['キョ', 'コ']","['うそ', 'ふ.く']","['lie', 'falsehood']",嘘をつかないというポリシーを持つ兄は、時として自縄自縛に陥っている。
113,唄,8.0,10,2051,1.0,['バイ'],"['うた', 'うた.う']","['song', 'ballad']",歌・うた・唄：舶来唱歌集
114,欝,,26,0,,"['ウツ', 'ウン']","['うっ.する', 'ふさ.ぐ', 'しげ.る']","['gloom', 'depression', 'melancholy']",
115,蔚,,14,0,,"['ウツ', 'イ']","['うち', 'おとこよもぎ']",['dense growth'],
116,鰻,,22,0,,"['マン', 'バン']",['うなぎ'],['eel'],私のホバークラフトは鰻でいっぱいです。
117,姥,9.0,9,0,,"['ボ', 'モ']",['うば'],['old woman'],
118,厩,9.0,12,0,,['キュウ'],['うまや'],"['barn', 'stable']",
119,浦,8.0,10,977,1.0,['ホ'],['うら'],"['bay', 'creek', 'inlet', 'gulf', 'beach', 'seacoast']",兄は先月浦和にマイホームを建てた。
120,瓜,9.0,6,2459,,"['カ', 'ケ']",['うり'],['melon'],あの二人は全く瓜二つだね。
121,閏,9.0,12,0,,['ジュン'],['うるう'],"['intercalation', 'illegitimate throne']",
122,噂,9.0,15,2298,,['ソン'],['うわさ'],"['rumor', 'gossip', 'hearsay']",その噂はすぐに広まった。
123,云,9.0,4,0,,['ウン'],"['い.う', 'ここに']",['say'],彼が云っている事を全部理解できるの。
124,運,3.0,12,255,3.0,['ウン'],['はこ.ぶ'],"['carry', 'luck', 'destiny', 'fate', 'lot', 'transport', 'progress', 'advance']",運がいいね。
125,雲,2.0,12,1256,2.0,['ウン'],"['くも', '-ぐも']",['cloud'],山の上に雲が見えた。
126,荏,,9,2096,,"['ジン', 'ニン']",[],"['bean', 'perilla', 'herb', 'soft', 'pliable']",
127,餌,8.0,14,2277,,"['ジ', 'ニ']","['え', 'えば', 'えさ', 'もち']","['food', 'bait', 'prey', 'tempting profit']",動物に餌を与えないで下さい。
128,叡,9.0,16,0,1.0,['エイ'],['あき.らか'],"['intelligence', 'imperial']",
129,営,5.0,12,303,2.0,['エイ'],"['いとな.む', 'いとな.み']","['camp', 'perform', 'build', 'conduct (business)']",社屋や従業員に被害はなく、平常通り営業している。
130,嬰,,17,0,,['エイ'],"['ふ.れる', 'みどりご', 'あかご']","['sharp (music)', 'baby']",
131,影,8.0,15,464,1.0,['エイ'],['かげ'],"['shadow', 'silhouette', 'phantom']",影におどろいてしまいました。
132,映,6.0,9,404,3.0,['エイ'],"['うつ.る', 'うつ.す', 'は.える', '-ば.え']","['reflect', 'reflection', 'projection']",ジェーンは十一歳の時からずっと映画に出演している。
133,曳,9.0,6,0,,['エイ'],['ひ.く'],"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']",かつてはロードローラーは馬が曳いていたが、蒸気機関の発明により、スチームローラーが現れた。
134,栄,4.0,9,920,2.0,"['エイ', 'ヨウ']","['さか.える', 'は.え', '-ば.え', 'は.える', 'え']","['flourish', 'prosperity', 'honor', 'glory', 'splendor']",この小説は作家の最高の出来栄えを示しているようだと思う。
135,永,5.0,5,846,2.0,['エイ'],['なが.い'],"['eternity', 'long', 'lengthy']",私たちは、この国を永遠に去ります。
136,泳,3.0,8,1223,2.0,['エイ'],['およ.ぐ'],['swim'],ジェーンは走るのは遅いけれども、とても速く泳ぎます。
137,洩,,9,0,,"['エイ', 'セツ']","['も.らす', 'の.びる', 'も.れる']","['leak', 'escape']",組織犯罪の秘密結社「マフィア」のしきたりでは、その働きを洩らすものは、だれでもかならず消されることになっている。
138,瑛,9.0,12,2393,1.0,['エイ'],[],"['sparkle of jewelry', 'crystal']",
139,盈,,9,0,,['エイ'],"['み.たす', 'み.ちる']","['fullness', 'enough', 'pride', 'satisfy']",
140,穎,,16,0,,['エイ'],"['ほさき', 'のぎ']","['heads of grain', 'cleverness']",
141,頴,,16,0,,['エイ'],"['ほさき', 'のぎ']","['heads of grain', 'cleverness']",
142,英,4.0,8,430,3.0,['エイ'],['はなぶさ'],"['England', 'English', 'hero', 'outstanding', 'calyx']",この文を英訳せよ。
143,衛,5.0,16,400,1.0,"['エイ', 'エ']",[],"['defense', 'protection']",政府が自衛隊に沖縄への災害派遣を要請した。
144,詠,8.0,12,2000,1.0,['エイ'],"['よ.む', 'うた.う']","['recitation', 'poem', 'song', 'composing']",その詩は無名の著者が詠んだ。
145,鋭,8.0,15,1395,2.0,['エイ'],['するど.い'],"['pointed', 'sharpness', 'edge', 'weapon', 'sharp', 'violent']",その大型機は鋭い音を立ててほとんど直角に降下した。
146,液,5.0,11,1210,2.0,['エキ'],[],"['fluid', 'liquid', 'juice', 'sap', 'secretion']",その液はいやな臭いを発した。
147,疫,8.0,9,1661,1.0,"['エキ', 'ヤク']",[],['epidemic'],世界的な美術品窃盗という疫病が美術館をからにしてしまった。
148,益,5.0,10,674,1.0,"['エキ', 'ヤク']",['ま.す'],"['benefit', 'gain', 'profit', 'advantage']",労なくして益なし。
149,駅,3.0,14,724,4.0,['エキ'],[],['station'],どの道を行っても駅に出ます。
150,悦,8.0,10,1762,1.0,['エツ'],"['よろこ.ぶ', 'よろこ.ばす']","['ecstasy', 'joy', 'rapture']",彼は私の失敗にご満悦の体でそこに座っていた。
151,謁,8.0,15,0,1.0,['エツ'],[],"['audience', 'audience (with king)']",宮中で謁見を賜った。
152,越,8.0,12,897,2.0,"['エツ', 'オツ']","['こ.す', '-こ.す', '-ご.し', 'こ.える', '-ご.え']","['surpass', 'cross over', 'move to', 'exceed', 'Vietnam']",ユダヤ人の過越の祭りが近づき、イエスはエルサレムに上がられた。
153,閲,8.0,15,1855,1.0,['エツ'],['けみ.する'],"['review', 'inspection', 'revision']",無料会員は閲覧できる記事に制限があります。
154,榎,9.0,14,1945,,['カ'],['えのき'],"['lotus tree', 'nettle tree', 'hackberry']",榎茸を使って市販のなめ茸佃煮に近づけないかなと思って挑戦してみました。
155,厭,,14,0,,"['エン', 'オン', 'アン', 'オウ', 'ユウ', 'ヨウ']","['いや', 'あ.きる', 'いと.う', 'おさ.える']","['get tired of', 'satiate', 'bore', 'dislike', 'disagreeable', 'unwelcome']",公衆の面前に姿を見せなければならないのが厭だった。
156,円,1.0,4,69,4.0,['エン'],"['まる.い', 'まる', 'まど', 'まど.か', 'まろ.やか']","['circle', 'yen', 'round']",その手紙を送るのに１００円かかった。
157,園,2.0,13,628,2.0,['エン'],['その'],"['park', 'garden', 'yard', 'farm']",園というのは古代の菜園地。
158,堰,9.0,12,1913,,['エン'],"['せき', 'せ.く']","['dam', 'prevent', 'stop up']",
159,奄,9.0,8,2047,,['エン'],"['おお.う', 'たちまち']","['cover', 'suffocate', 'obstruct']",
160,宴,8.0,10,1675,1.0,['エン'],['うたげ'],"['banquet', 'feast', 'party']",女は悪魔の宴へと向かう。
161,延,6.0,8,747,2.0,['エン'],"['の.びる', 'の.べる', 'の.べ', 'の.ばす']","['prolong', 'stretching']",もう一日延泊できますか。
162,怨,8.0,9,2137,,"['エン', 'オン', 'ウン']","['うら.む', 'うらみ', 'うら.めしい']","['grudge', 'show resentment', 'be jealous']",忍を行じてのみ、よく怨みを解くことを得る。
163,掩,,11,0,,['エン'],['おお.う'],"['cover', 'conceal']",
164,援,8.0,12,312,1.0,['エン'],[],"['abet', 'help', 'save']",少しの援助も私にはなかった。
165,沿,6.0,8,1121,1.0,['エン'],"['そ.う', '-ぞ.い']","['run alongside', 'follow along', 'run along', 'lie along']",彼は川に沿って歩いた。
166,演,5.0,14,267,2.0,['エン'],[],"['performance', 'act', 'play', 'render', 'stage']",ジェーンは十一歳の時からずっと映画に出演している。
167,炎,8.0,8,1242,1.0,['エン'],['ほのお'],"['inflammation', 'flame', 'blaze']",硫黄は青い炎を上げて燃える。
168,焔,,11,0,,['エン'],['ほのお'],"['flame', 'blaze']",
169,煙,8.0,13,1290,2.0,['エン'],"['けむ.る', 'けむり', 'けむ.い']",['smoke'],煙のない火はない。
170,燕,9.0,16,2147,,['エン'],"['つばめ', 'つばくら', 'つばくろ']",['swallow (bird)'],一般的に言って、オーケストラの指揮者は演奏会で燕尾服を着ます。
171,猿,8.0,13,1772,1.0,['エン'],['さる'],['monkey'],猿も木から落ちる。
172,縁,8.0,15,1291,1.0,"['エン', '-ネン']","['ふち', 'ふち.どる', 'ゆかり', 'よすが', 'へり', 'えにし']","['affinity', 'relation', 'connection', 'edge', 'border', 'verge', 'brink']",テーブルの縁にグラスを置かないで下さい。
173,艶,8.0,19,2207,1.0,['エン'],"['つや', 'なま.めかしい', 'あで.やか', 'つや.めく', 'なま.めく']","['glossy', 'luster', 'glaze', 'polish', 'charm', 'colorful', 'captivating']",この石鹸を使えば彼女の顔の色艶がよくなるだろう。
174,苑,9.0,8,2060,1.0,"['エン', 'オン']","['その', 'う.つ']","['garden', 'farm', 'park']",「広辞苑にこう書いてあります」と言って、広辞苑を唯一の拠り所に論陣を張る人がよくいる。
175,薗,10.0,16,0,,"['エン', 'オン']",['その'],"['garden', 'yard', 'farm']",
176,遠,2.0,13,887,3.0,"['エン', 'オン']",['とお.い'],"['distant', 'far']",彼は試しに遠山に登ってみた。
177,鉛,8.0,13,1710,1.0,['エン'],['なまり'],['lead'],鉛は簡単に曲がる。
178,鴛,,16,0,,"['エン', 'オン']","['おし', 'おしどり']",['male mandarin duck'],
179,塩,4.0,13,1148,2.0,['エン'],['しお'],['salt'],塩をこちらへ取ってもらえますか。
180,於,9.0,8,2113,1.0,"['オ', 'ヨ']","['おい.て', 'お.ける', 'ああ', 'より']","['at', 'in', 'on', 'as for']",一つの仕事（プロジェクト）に於いて困難性の尺度で、仕事の遂行能力が、その頂上（ハンプ）を越えない場合は、何時まで待っても解決しない。
181,汚,8.0,6,908,2.0,['オ'],"['けが.す', 'けが.れる', 'けが.らわしい', 'よご.す', 'よご.れる', 'きたな.い']","['dirty', 'pollute', 'disgrace', 'rape', 'defile']",今や音楽家たちは歌の中に例えば人権や環境汚染のような問題までいれています。
182,甥,9.0,12,0,,"['セイ', 'ソウ', 'ショウ']","['おい', 'むこ']",['nephew'],ジョンは私の甥です。
